2022-05-07-14-21-33
Loading train dataset...
Epoch: 0/50, acc = 0.0547, loss = 2.5797, TPR = 0.9044, FPR = 1.0000, TNR = 0.0000 FNR = 0.0956
Epoch: 1/50, acc = 0.2656, loss = 2.1366, TPR = 0.8943, FPR = 0.9000, TNR = 0.1000 FNR = 0.1057
Epoch: 2/50, acc = 0.4336, loss = 1.8004, TPR = 0.9076, FPR = 1.0000, TNR = 0.0000 FNR = 0.0924
Epoch: 3/50, acc = 0.5469, loss = 1.5445, TPR = 0.9429, FPR = 0.9091, TNR = 0.0909 FNR = 0.0571
Epoch: 4/50, acc = 0.6953, loss = 1.3071, TPR = 0.9363, FPR = 1.0000, TNR = 0.0000 FNR = 0.0637
Epoch: 5/50, acc = 0.7305, loss = 1.2053, TPR = 0.9754, FPR = 0.9167, TNR = 0.0833 FNR = 0.0246
Epoch: 6/50, acc = 0.7266, loss = 1.1433, TPR = 0.9665, FPR = 1.0000, TNR = 0.0000 FNR = 0.0335
Epoch: 7/50, acc = 0.8164, loss = 0.9759, TPR = 0.9918, FPR = 0.8182, TNR = 0.1818 FNR = 0.0082
Epoch: 8/50, acc = 0.7461, loss = 1.0075, TPR = 0.9876, FPR = 0.9286, TNR = 0.0714 FNR = 0.0124
Epoch: 9/50, acc = 0.8555, loss = 0.7911, TPR = 0.9919, FPR = 1.0000, TNR = 0.0000 FNR = 0.0081
Epoch: 10/50, acc = 0.8359, loss = 0.7956, TPR = 0.9960, FPR = 1.0000, TNR = 0.0000 FNR = 0.0040
Epoch: 11/50, acc = 0.8047, loss = 0.8675, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 12/50, acc = 0.7930, loss = 0.7954, TPR = 0.9917, FPR = 1.0000, TNR = 0.0000 FNR = 0.0083
Epoch: 13/50, acc = 0.8281, loss = 0.7238, TPR = 1.0000, FPR = 0.9500, TNR = 0.0500 FNR = 0.0000
Epoch: 14/50, acc = 0.8320, loss = 0.6841, TPR = 1.0000, FPR = 0.9167, TNR = 0.0833 FNR = 0.0000
Epoch: 15/50, acc = 0.7930, loss = 0.7815, TPR = 1.0000, FPR = 0.9231, TNR = 0.0769 FNR = 0.0000
Epoch: 16/50, acc = 0.8828, loss = 0.5733, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 17/50, acc = 0.8594, loss = 0.6073, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 18/50, acc = 0.8516, loss = 0.6086, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 19/50, acc = 0.8633, loss = 0.5699, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 20/50, acc = 0.8398, loss = 0.6376, TPR = 0.9958, FPR = 1.0000, TNR = 0.0000 FNR = 0.0042
Epoch: 21/50, acc = 0.8555, loss = 0.5840, TPR = 1.0000, FPR = 0.9000, TNR = 0.1000 FNR = 0.0000
Epoch: 22/50, acc = 0.8789, loss = 0.4801, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 23/50, acc = 0.8867, loss = 0.4717, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 24/50, acc = 0.8945, loss = 0.4642, TPR = 1.0000, FPR = 0.9167, TNR = 0.0833 FNR = 0.0000
Epoch: 25/50, acc = 0.8633, loss = 0.5357, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 26/50, acc = 0.8711, loss = 0.5237, TPR = 0.9959, FPR = 1.0000, TNR = 0.0000 FNR = 0.0041
Epoch: 27/50, acc = 0.8672, loss = 0.5293, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 28/50, acc = 0.8945, loss = 0.4404, TPR = 1.0000, FPR = 0.8750, TNR = 0.1250 FNR = 0.0000
Epoch: 29/50, acc = 0.8555, loss = 0.5283, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 30/50, acc = 0.8828, loss = 0.4859, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 31/50, acc = 0.8984, loss = 0.4604, TPR = 0.9916, FPR = 0.9474, TNR = 0.0526 FNR = 0.0084
Epoch: 32/50, acc = 0.9102, loss = 0.3656, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 33/50, acc = 0.8789, loss = 0.4766, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 34/50, acc = 0.8555, loss = 0.4808, TPR = 0.9959, FPR = 0.9286, TNR = 0.0714 FNR = 0.0041
Epoch: 35/50, acc = 0.8984, loss = 0.4642, TPR = 0.9919, FPR = 1.0000, TNR = 0.0000 FNR = 0.0081
Epoch: 36/50, acc = 0.8555, loss = 0.5187, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 37/50, acc = 0.8828, loss = 0.4715, TPR = 0.9959, FPR = 1.0000, TNR = 0.0000 FNR = 0.0041
Epoch: 38/50, acc = 0.9062, loss = 0.4089, TPR = 0.9959, FPR = 0.9286, TNR = 0.0714 FNR = 0.0041
Epoch: 39/50, acc = 0.8984, loss = 0.3779, TPR = 0.9918, FPR = 0.9167, TNR = 0.0833 FNR = 0.0082
Epoch: 40/50, acc = 0.8789, loss = 0.4569, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 41/50, acc = 0.8984, loss = 0.3928, TPR = 0.9917, FPR = 1.0000, TNR = 0.0000 FNR = 0.0083
Epoch: 42/50, acc = 0.8945, loss = 0.4758, TPR = 1.0000, FPR = 0.8667, TNR = 0.1333 FNR = 0.0000
Epoch: 43/50, acc = 0.9023, loss = 0.3644, TPR = 1.0000, FPR = 0.8824, TNR = 0.1176 FNR = 0.0000
Epoch: 44/50, acc = 0.9219, loss = 0.3302, TPR = 1.0000, FPR = 1.0000, TNR = 0.0000 FNR = 0.0000
Epoch: 45/50, acc = 0.9062, loss = 0.3955, TPR = 0.9959, FPR = 0.9333, TNR = 0.0667 FNR = 0.0041
Epoch: 46/50, acc = 0.9102, loss = 0.3662, TPR = 0.9959, FPR = 0.8000, TNR = 0.2000 FNR = 0.0041
Epoch: 47/50, acc = 0.8945, loss = 0.4327, TPR = 0.9958, FPR = 0.8824, TNR = 0.1176 FNR = 0.0042
Epoch: 48/50, acc = 0.9453, loss = 0.2761, TPR = 0.9960, FPR = 0.6667, TNR = 0.3333 FNR = 0.0040
Epoch: 49/50, acc = 0.9141, loss = 0.3566, TPR = 0.9959, FPR = 0.8571, TNR = 0.1429 FNR = 0.0041
